principal_component,description
PC1,"Critically acclaimed, artistic, emotional dramas"
PC2,High-octane action and suspense
PC3,"Dark, violent, disturbing thrillers"
PC4,Comedy and humour-focused films
PC5,Family-friendly classics and animations
PC6,Emotional coming-of-age or psychological dramas
PC7,Classic horror and suspense
PC8,"Youth, gaming, and urban culture"
PC9,Romantic comedies and gender-themed dramas
PC10,Children’s animation and fantasy worlds
PC11,Science fiction and speculative futures
PC12,Erotic and romantic themes
PC13,British historical and political dramas
PC14,Sexualised cartoons and controversial animations
PC15,Superhero and comic book franchises
PC16,Teen school drama and secrets
PC17,Teen movies with alternate realities
PC18,Post-apocalyptic dark romantic crime
PC19,Teen and youth-focused media
PC20,Fantasy and surreal mythology
PC21,Adaptations and British crime stories
PC22,War films and World War II settings
PC23,Dark humour and suburban satire
PC24,"Campy, cheesy action and war themes"
PC25,Jewish wartime historical dramas
PC26,Historical biopics and true stories
PC27,"Nocturnal, anti-war and adaptation themes"
PC28,Claustrophobic indie character dramas
PC29,Camp cult adaptations and books
PC30,Religious and philosophical dialogue films
